DY,MO,HR,solar radiation,module_temp,wind direction,wind speed,power
31,1,10,967.932,51.896,0.67,1.9,439.439
31,1,11,1015.723,51.516,1.07,2.4,460.411
31,1,12,984.758,49.849,1.46,2.7,450.34
31,1,13,875.158,46.691,1.69,2.8,408.178
31,1,14,692.543,42.2,1.97,2.6,332.33
31,1,15,442.206,35.015,1.95,1.9,219.023
31,1,16,164.187,24.051,1.64,1.3,73.214
31,1,17,0.0,0.0,1.92,1.3,0.0
31,1,18,0.0,16.6,2.37,1.3,0.0
1,2,6,94.624,16.347,1.77,1.0,38.316
1,2,7,364.875,29.777,1.62,0.9,181.26
1,2,8,620.01,42.543,2.24,1.0,297.776
1,2,9,823.755,52.287,2.19,1.1,376.255
1,2,10,957.406,59.592,2.13,1.0,420.547
1,2,11,1002.798,63.199,1.82,0.9,432.135
1,2,12,971.52,60.12,1.41,1.2,425.146
1,2,13,857.632,54.367,0.83,1.5,387.135
1,2,14,661.341,47.443,0.27,1.5,310.122
1,2,15,416.29,38.299,0.34,1.2,203.01
1,2,16,147.948,26.313,0.87,1.0,66.001
1,2,17,0.0,0.0,1.38,1.1,0.0
1,2,18,0.0,18.6,2.17,1.1,0.0
2,2,6,87.716,16.767,1.47,1.4,36.077
2,2,7,348.704,28.927,1.37,1.4,173.631
2,2,8,607.768,42.06,1.46,1.2,292.172
2,2,9,813.628,51.285,0.97,1.4,372.874
2,2,10,939.105,56.892,1.53,1.5,417.019
2,2,11,980.453,59.267,2.07,1.5,429.45
2,2,12,950.185,60.335,2.61,1.3,414.98
2,2,13,836.34,57.991,3.07,1.1,371.235
2,2,14,645.242,52.004,3.4,0.9,296.367
2,2,15,401.543,42.9,3.7,0.6,191.797
2,2,16,140.535,29.971,3.45,0.7,62.168
2,2,17,0.0,0.0,2.19,1.1,0.0
2,2,18,0.0,21.2,2.31,1.3,0.0
3,2,6,73.635,17.895,2.87,1.3,30.039
3,2,7,330.284,29.534,2.87,1.4,163.838
3,2,8,585.403,42.128,2.83,1.3,280.802
3,2,9,789.063,52.911,2.27,1.2,358.706
3,2,10,920.084,60.751,2.13,1.0,401.394
3,2,11,964.494,65.806,1.73,0.7,410.048
3,2,12,935.469,67.089,1.85,0.5,396.048
3,2,13,812.241,60.128,2.22,0.7,356.719
3,2,14,609.459,51.08,2.47,0.8,280.281
3,2,15,374.388,40.525,2.71,0.8,179.945
3,2,16,119.96,28.38,2.95,0.9,53.725
3,2,17,0.0,0.0,2.37,1.1,0.0
3,2,18,0.0,21.1,2.85,1.2,0.0
4,2,6,71.493,17.699,2.68,1.8,29.443
4,2,7,325.66,28.402,2.13,1.9,162.223
4,2,8,581.919,40.843,1.51,1.6,280.526
4,2,9,791.888,52.376,0.45,1.3,360.761
4,2,10,919.571,59.159,1.51,1.2,403.876
4,2,11,953.665,60.323,2.25,1.3,415.233
4,2,12,913.53,58.722,2.53,1.4,401.189
4,2,13,814.394,54.887,2.38,1.5,365.827
4,2,14,602.942,47.685,2.45,1.5,281.312
4,2,15,365.917,39.593,3.01,1.1,176.634
4,2,16,132.969,29.336,3.05,0.9,59.244
4,2,17,0.0,0.0,1.82,1.1,0.0
4,2,18,0.0,21.6,1.65,1.2,0.0
5,2,6,62.281,17.829,0.94,1.6,25.953
5,2,7,297.159,28.249,1.16,1.7,147.745
5,2,8,544.056,40.935,1.27,1.4,261.27
5,2,9,739.583,50.139,1.45,1.5,339.21
5,2,10,869.363,55.072,2.29,1.6,387.926
5,2,11,923.404,57.513,2.32,1.6,406.59
5,2,12,890.768,56.821,2.63,1.6,393.996
5,2,13,774.197,52.562,2.96,1.7,350.533
5,2,14,588.88,47.13,2.99,1.5,274.656
5,2,15,357.122,39.081,2.87,1.1,172.261
5,2,16,115.655,27.93,2.46,1.0,52.225
5,2,17,0.0,0.0,1.63,1.3,0.0
5,2,18,0.0,20.5,1.84,1.4,0.0
6,2,6,67.021,19.36,0.62,1.4,27.881
6,2,7,306.662,30.051,0.29,1.5,151.522
6,2,8,556.035,43.289,0.84,1.2,264.641
6,2,9,757.601,56.063,1.13,0.8,338.969
6,2,10,881.568,64.894,2.22,0.5,376.752
6,2,11,912.689,67.929,3.64,0.4,383.443
6,2,12,885.539,65.025,4.2,0.6,377.534
6,2,13,778.456,60.752,4.76,0.6,340.02
6,2,14,598.191,53.695,5.05,0.5,271.396
6,2,15,363.871,43.729,4.94,0.3,172.254
6,2,16,121.226,31.602,4.43,0.2,54.032
6,2,17,0.0,0.0,2.75,0.4,0.0
6,2,18,0.0,24.2,2.48,0.6,0.0
7,2,6,68.884,19.675,2.44,1.1,28.65
7,2,7,312.96,30.477,2.99,1.4,154.475
7,2,8,556.804,40.335,2.89,1.8,268.329
7,2,9,760.341,47.35,2.8,2.3,353.166
7,2,10,889.148,52.843,1.66,2.3,400.87
7,2,11,936.756,56.702,1.38,2.0,414.104
7,2,12,905.294,57.874,1.85,1.7,398.802
7,2,13,789.205,56.058,2.56,1.4,352.325
7,2,14,601.609,51.54,3.33,1.0,275.798
7,2,15,371.554,43.505,4.07,0.6,176.337
7,2,16,123.534,32.075,4.29,0.4,54.835
7,2,17,0.0,0.0,2.63,0.7,0.0
7,2,18,0.0,24.0,2.44,1.0,0.0
8,2,6,34.075,19.55,2.41,1.1,14.78
8,2,7,249.24,29.42,2.69,1.1,122.695
8,2,8,398.907,37.041,2.9,1.3,192.536
8,2,9,303.597,35.64,4.28,2.0,143.559
8,2,10,557.012,42.979,3.72,2.8,258.469
8,2,11,768.725,48.106,3.27,3.2,351.003
8,2,12,697.912,46.271,3.66,3.5,321.414
8,2,13,759.525,46.944,4.32,3.7,351.806
8,2,14,571.525,42.406,4.79,3.6,271.415
8,2,15,338.696,36.418,5.14,2.9,164.555
8,2,16,100.001,28.264,5.05,2.9,45.705
8,2,17,0.0,0.0,3.06,4.0,0.0
8,2,18,0.0,22.2,2.63,4.7,0.0
9,2,6,67.928,18.78,2.97,2.5,29.094
9,2,7,325.116,27.45,3.89,3.0,162.619
9,2,8,583.91,35.689,3.4,3.5,287.054
9,2,9,801.645,41.861,3.38,3.9,381.118
9,2,10,939.548,44.887,2.31,4.3,437.908
9,2,11,986.545,45.867,1.4,4.5,456.39
9,2,12,966.486,45.226,1.3,4.7,449.119
9,2,13,857.703,42.963,1.68,4.7,404.833
9,2,14,670.749,39.18,2.18,4.4,324.504
9,2,15,434.075,34.179,2.67,3.1,215.505
9,2,16,169.118,25.173,3.02,1.9,77.035
9,2,17,0.0,0.0,2.2,1.7,0.0
9,2,18,0.0,16.7,2.43,1.7,0.0
10,2,6,103.988,14.29,2.96,2.6,44.212
10,2,7,382.28,25.807,3.18,2.4,193.289
10,2,8,643.967,38.554,3.27,2.0,313.886
10,2,9,852.437,52.865,2.72,1.1,387.658
10,2,10,992.768,64.298,2.21,0.6,426.204
10,2,11,1049.875,63.629,1.62,1.0,450.633
10,2,12,1021.351,58.458,1.42,1.6,449.287
10,2,13,904.618,53.187,1.78,1.9,409.731
10,2,14,712.31,46.988,2.17,1.9,334.359
10,2,15,461.695,39.324,2.59,1.4,225.081
10,2,16,181.218,27.872,2.72,1.0,81.368
10,2,17,0.0,0.0,1.89,1.0,0.0
10,2,18,0.0,19.5,1.96,0.9,0.0
